Vocabularies loaded: 16236
例 Freq = 4975  TF = 0.033778508042340255  IDF = 1.905190306618679  TF-IDF = 0.06435448609430774
病例 Freq = 2558  TF = 0.017367924336141986  IDF = 1.5440369955309672  TF-IDF = 0.02681671771058584
新增 Freq = 1390  TF = 0.009437613302282  IDF = 2.213798194392492  TF-IDF = 0.020892971287966456
确诊 Freq = 2073  TF = 0.01407494415512992  IDF = 1.4443690313888922  TF-IDF = 0.02032941345619775
诊病 Freq = 1271  TF = 0.008629644969208938  IDF = 2.0054544300921084  TF-IDF = 0.01730635973362214
武汉 Freq = 1448  TF = 0.009831412994031898  IDF = 1.6298883716026726  TF-IDF = 0.016024105715396007
医院 Freq = 927  TF = 0.0062940054181405865  IDF = 2.2296695870353735  TF-IDF = 0.014033552461463926
疫情 Freq = 1384  TF = 0.00939687540313546  IDF = 1.4818924740350954  TF-IDF = 0.01392515893935194
患者 Freq = 690  TF = 0.0046848584018522165  IDF = 2.61939599778503  TF-IDF = 0.012271499348001268
湖北 Freq = 726  TF = 0.004929285796731462  IDF = 2.487606125229489  TF-IDF = 0.012262121540955908
肺炎 Freq = 1863  TF = 0.012649117685000984  IDF = 0.9505007390473686  TF-IDF = 0.012022995707890576
新型 Freq = 1881  TF = 0.012771331382440607  IDF = 0.929610672108602  TF-IDF = 0.011872365950152295
防控 Freq = 790  TF = 0.0053638233876279  IDF = 2.1280076123760714  TF-IDF = 0.011414257000312978
病毒 Freq = 1698  TF = 0.011528825458471106  IDF = 0.9757070866980561  TF-IDF = 0.011248756701135223
口罩 Freq = 478  TF = 0.0032454526320077675  IDF = 3.413223928906913  TF-IDF = 0.011077456583702834
州市 Freq = 470  TF = 0.0031911354331457128  IDF = 3.449935707263434  TF-IDF = 0.01100921207752296
感染 Freq = 1407  TF = 0.009553037349863867  IDF = 1.1504916265274505  TF-IDF = 0.010990689478922367
冠状 Freq = 1434  TF = 0.009736357896023302  IDF = 1.0855076816581433  TF-IDF = 0.010568891287506212
冠状病毒 Freq = 1419  TF = 0.00963451314815695  IDF = 1.0912958340195504  TF-IDF = 0.010514104061390262
报告 Freq = 613  TF = 0.00416205536280494  IDF = 2.5145731728297585  TF-IDF = 0.01046579275914153
累计 Freq = 666  TF = 0.004521906805266053  IDF = 2.284976958714471  TF-IDF = 0.010332452859487093
北京 Freq = 424  TF = 0.0028788115396888984  IDF = 3.5341487111665195  TF-IDF = 0.010174148092682824
病毒感染 Freq = 1115  TF = 0.007570459591398872  IDF = 1.33904211575121  TF-IDF = 0.010137164228475786
出院 Freq = 445  TF = 0.0030213941867017918  IDF = 3.130985312175967  TF-IDF = 0.009459940820857162
人民 Freq = 639  TF = 0.004338586259106618  IDF = 2.1580648462322514  TF-IDF = 0.009362950488124282
医疗 Freq = 388  TF = 0.002634384144809652  IDF = 3.1672055000887207  TF-IDF = 0.008343635952787651
隔离 Freq = 359  TF = 0.002437484298934704  IDF = 3.179483829867157  TF-IDF = 0.007749941914017975
发布 Freq = 400  TF = 0.002715859943102734  IDF = 2.7189316713359446  TF-IDF = 0.00738423761421466
卫生 Freq = 338  TF = 0.0022949016519218106  IDF = 3.173331602885562  TF-IDF = 0.007282483937557763
重症 Freq = 336  TF = 0.002281322352206297  IDF = 3.1918675543229895  TF-IDF = 0.007281678796959083
湖北省 Freq = 298  TF = 0.0020233156576115368  IDF = 3.5184670889342495  TF-IDF = 0.00711896955183155
委 Freq = 356  TF = 0.0024171153493614335  IDF = 2.8799235480082492  TF-IDF = 0.006961107412878178
物资 Freq = 246  TF = 0.0016702538650081816  IDF = 4.155030786142618  TF-IDF = 0.006939956229782691
接触 Freq = 306  TF = 0.0020776328564735915  IDF = 3.281664224673635  TF-IDF = 0.0068180934170958786
人民日报 Freq = 351  TF = 0.0023831671000726492  IDF = 2.821029858954681  TF-IDF = 0.006722985548183381
国家 Freq = 313  TF = 0.0021251604054778896  IDF = 3.161105300552302  TF-IDF = 0.006717855822280037
医护 Freq = 265  TF = 0.0017992572123055614  IDF = 3.709998546565937  TF-IDF = 0.006675241642551913
武汉市 Freq = 288  TF = 0.0019554191590339686  IDF = 3.3774232074790658  TF-IDF = 0.006604278048070524
治疗 Freq = 254  TF = 0.0017245710638702362  IDF = 3.7189316713359446  TF-IDF = 0.0064135619488965455
健 Freq = 312  TF = 0.0021183707556201325  IDF = 3.0054544300921084  TF-IDF = 0.006366666772056094
发热 Freq = 232  TF = 0.001575198766999586  IDF = 3.9730329523997305  TF-IDF = 0.00625831660786878
卫 Freq = 304  TF = 0.002064053556758078  IDF = 3.0274807364221066  TF-IDF = 0.006248882382028615
神山 Freq = 190  TF = 0.0012900334729737987  IDF = 4.821029858954681  TF-IDF = 0.00621928989225769
死亡 Freq = 252  TF = 0.0017109917641547226  IDF = 3.6152203218138372  TF-IDF = 0.006185612196228261
上海 Freq = 189  TF = 0.001283243823116042  IDF = 4.6235837947484635  TF-IDF = 0.005933185345270395
