Vocabularies loaded: 26368
确诊 Freq = 1263  TF = 0.007958763146452585  IDF = 3.558755606487379  TF-IDF = 0.02832329296814327
武汉 Freq = 1230  TF = 0.0077508144656664125  IDF = 3.3101212707079224  TF-IDF = 0.02565613582811305
湖北 Freq = 974  TF = 0.006137636820779745  IDF = 3.980075458017872  TF-IDF = 0.024428257680612298
疫情 Freq = 1039  TF = 0.00654723270717675  IDF = 3.7236520387366117  TF-IDF = 0.02437961641816173
病例 Freq = 760  TF = 0.004789121133257295  IDF = 4.667531952404711  TF-IDF = 0.022353375913415085
病毒 Freq = 799  TF = 0.005034878665095499  IDF = 4.2612116702269764  TF-IDF = 0.02145468372588176
新增 Freq = 621  TF = 0.003913216083885238  IDF = 5.209681369586894  TF-IDF = 0.020386608927384708
感染 Freq = 817  TF = 0.005148305218251593  IDF = 3.9551085425012964  TF-IDF = 0.020362105948110876
例 Freq = 488  TF = 0.003075119885565211  IDF = 6.151800453506394  TF-IDF = 0.018917523906606594
死亡 Freq = 610  TF = 0.0038438998569565136  IDF = 4.616306629049538  TF-IDF = 0.01774462039107092
医院 Freq = 625  TF = 0.003938421984586592  IDF = 4.365439039102613  TF-IDF = 0.0171929410839743
疑似 Freq = 608  TF = 0.0038312969066058365  IDF = 4.472715775420688  TF-IDF = 0.017136302114496405
隔离 Freq = 563  TF = 0.003547730523715602  IDF = 4.447624794457857  TF-IDF = 0.01577897424133247
患者 Freq = 460  TF = 0.0028986785806557314  IDF = 4.990909263929143  TF-IDF = 0.014467041781347669
口罩 Freq = 468  TF = 0.0029490903820584397  IDF = 4.679166652888115  TF-IDF = 0.013799285372080921
医疗 Freq = 422  TF = 0.0026592225239928666  IDF = 4.696796546909906  TF-IDF = 0.01248982716815474
传染 Freq = 418  TF = 0.0026340166232915125  IDF = 4.702721380867011  TF-IDF = 0.012387046291912123
肺炎 Freq = 370  TF = 0.0023315458148752623  IDF = 5.143718107208535  TF-IDF = 0.011992814425760166
国家 Freq = 335  TF = 0.002110994183738413  IDF = 4.879341034883332  TF-IDF = 0.010300260545114882
治愈 Freq = 294  TF = 0.0018526337015495327  IDF = 5.447624794457857  TF-IDF = 0.010092453287609472
天 Freq = 321  TF = 0.0020227735312836736  IDF = 4.976482193293863  TF-IDF = 0.010066296459499349
医生 Freq = 305  TF = 0.0019219499284782568  IDF = 5.012824040357584  TF-IDF = 0.009634396805839345
治疗 Freq = 267  TF = 0.001682493871815392  IDF = 5.638849197700626  TF-IDF = 0.009487329219222443
城市 Freq = 273  TF = 0.0017203027228674232  IDF = 5.427861539636428  TF-IDF = 0.00933756498598391
希望 Freq = 319  TF = 0.0020101705809329965  IDF = 4.610725596786239  TF-IDF = 0.009268344951414431
诊病 Freq = 250  TF = 0.0015753687938346366  IDF = 5.807354922057605  TF-IDF = 0.009148725718931529
重症 Freq = 248  TF = 0.0015627658434839596  IDF = 5.782043833528416  TF-IDF = 0.009035980608565261
每天 Freq = 277  TF = 0.0017455086235687776  IDF = 5.088375073364761  TF-IDF = 0.0088818025705106
病人 Freq = 252  TF = 0.0015879717441853137  IDF = 5.550718287421962  TF-IDF = 0.008814383800358769
检测 Freq = 244  TF = 0.0015375599427826054  IDF = 5.616306629049538  TF-IDF = 0.008635408099210975
接触 Freq = 237  TF = 0.0014934496165552357  IDF = 5.757169164889388  TF-IDF = 0.008598042081747682
资源 Freq = 253  TF = 0.0015942732193606523  IDF = 5.342131665610544  TF-IDF = 0.008516817448781406
死亡率 Freq = 231  TF = 0.0014556407655032042  IDF = 5.708670647198198  TF-IDF = 0.008309773710893257
